Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
1001,Male,25,New York,Gold,1759.2,18,4.3,True,15,Unsatisfied
1002,Female,20,New York,Bronze,819.76,13,4.7,False,6,Neutral
1003,Female,39,New York,Gold,1404.24,20,4.1,False,32,Satisfied
1004,Female,64,New York,Bronze,1393.65,23,4.4,False,7,Satisfied
1005,Male,56,New York,Bronze,812.73,20,5.0,False,13,Neutral
1006,Female,64,New York,Gold,1809.96,23,4.4,True,18,Satisfied
1007,Female,19,New York,Gold,1655.09,17,4.5,True,22,Satisfied
1008,Female,53,New York,Silver,1258.53,19,4.5,False,44,Unsatisfied
1009,Male,41,New York,Silver,1089.73,23,4.5,True,33,Neutral
1010,Male,26,New York,Silver,1380.57,23,4.2,True,21,Satisfied
1011,Male,22,New York,Silver,1488.41,21,3.9,False,12,Neutral
1012,Male,40,New York,Gold,1801.3,16,4.7,False,31,Satisfied
1013,Male,31,New York,Silver,1434.24,16,4.5,False,43,Satisfied
1014,Female,59,New York,Gold,1663.6,14,3.8,False,36,Neutral
1015,Male,62,New York,Silver,1217.89,24,4.1,True,26,Satisfied
1016,Female,23,New York,Bronze,1238.27,23,4.0,False,15,Neutral
1017,Male,56,New York,Gold,1944.1,12,4.1,True,17,Satisfied
1018,Female,44,New York,Bronze,1200.71,16,4.6,True,28,Satisfied
1019,Female,41,New York,Bronze,1474.9,12,3.9,True,16,Satisfied
1020,Male,54,New York,Gold,1570.9,12,4.1,False,32,Satisfied
1021,Male,18,San Francisco,Gold,1543.74,13,4.4,True,10,Satisfied
1022,Male,34,San Francisco,Gold,1836.93,19,4.4,False,26,Neutral
1023,Male,26,San Francisco,Silver,1064.55,17,4.6,False,40,Satisfied
1024,Male,37,San Francisco,Gold,1787.1,15,4.9,True,43,Satisfied
1025,Female,42,San Francisco,Bronze,1000.71,21,4.1,False,30,Satisfied
1026,Male,19,San Francisco,Bronze,1756.4,23,4.5,False,13,Satisfied
1027,Female,20,San Francisco,Gold,1913.79,17,4.7,False,15,Neutral
1028,Female,37,San Francisco,Bronze,1357.46,20,4.6,True,22,Neutral
1029,Male,58,San Francisco,Gold,1505.56,15,4.1,True,24,Satisfied
1030,Male,34,San Francisco,Gold,1584.84,23,4.4,False,26,Neutral
1031,Male,68,San Francisco,Gold,1935.23,22,4.3,True,37,Unsatisfied
1032,Male,65,San Francisco,Silver,1036.54,14,4.7,True,32,Satisfied
1033,Female,52,San Francisco,Gold,1848.63,16,4.9,True,35,Satisfied
1034,Male,38,San Francisco,Bronze,983.27,12,4.2,True,29,Neutral
